year,category,TLU (millons)
2010,Breeding animals,3.09
2010,Market animals,27.85
2010,grazing animals,763.54
2010,poultry,1103.33
2010,working animals,19.18
2011,Breeding animals,3.1
2011,Market animals,27.9
2011,grazing animals,797.93
2011,poultry,1076.07
2011,working animals,19.51
2012,Breeding animals,3.29
2012,Market animals,29.61
2012,grazing animals,962.68
2012,poultry,1170.32
2012,working animals,28.45
2013,Breeding animals,3.34
2013,Market animals,30.05
2013,grazing animals,992.68
2013,poultry,1140.12
2013,working animals,28.85
2014,Breeding animals,3.46
2014,Market animals,31.18
2014,grazing animals,1013.95
2014,poultry,1179.83
2014,working animals,29.44
2015,Breeding animals,3.62
2015,Market animals,32.61
2015,grazing animals,1030.73
2015,poultry,1212.38
2015,working animals,33.02
2016,Breeding animals,3.7
2016,Market animals,33.34
2016,grazing animals,1063.52
2016,poultry,1260.46
2016,working animals,34.06
2017,Breeding animals,3.76
2017,Market animals,33.83
2017,grazing animals,1086.59
2017,poultry,1306.79
2017,working animals,34.78
2018,Breeding animals,4.12
2018,Market animals,37.05
2018,grazing animals,1121.76
2018,poultry,1356.49
2018,working animals,35.76
2019,Breeding animals,4.39
2019,Market animals,39.47
2019,grazing animals,1187.13
2019,poultry,1375.42
2019,working animals,36.71
2020,Breeding animals,4.32
2020,Market animals,38.84
2020,grazing animals,1216.51
2020,poultry,1411.16
2020,working animals,37.97
2021,Breeding animals,4.28
2021,Market animals,38.56
2021,grazing animals,1210.04
2021,poultry,1447
2021,working animals,38.97
