country,ISO2,ISO3,climate_hazards,variable,variable_code,type,value,value_prop
Angola,AO,AGO,ExCV,Value,V,Adaptation,0,0
Angola,AO,AGO,HCV,Value,V,Adaptation,0.056599471,0.309290554
Angola,AO,AGO,Thi,Value,V,Adaptation,0.006617292,0.036160511
Angola,AO,AGO,CV+Thi,Value,V,Adaptation,0.048784217,0.266583718
Angola,AO,AGO,D,Value,V,Adaptation,0,0
Angola,AO,AGO,CV+D,Value,V,Adaptation,0.013498752,0.073764586
Angola,AO,AGO,Thi+D,Value,V,Adaptation,0,0
Angola,AO,AGO,CV+Thi+D,Value,V,Adaptation,0.026047106,0.142335673
Angola,AO,AGO,F,Value,V,Adaptation,0.010742968,0.058705468
Angola,AO,AGO,CV+F,Value,V,Adaptation,0.0025636,0.014008914
Angola,AO,AGO,Thi+F,Value,V,Adaptation,0.000504554,0.00275716
Angola,AO,AGO,CV+Thi+F,Value,V,Adaptation,0.002703989,0.01477608
Angola,AO,AGO,D+F,Value,V,Adaptation,0,0
Angola,AO,AGO,CV+D+F,Value,V,Adaptation,0.000200405,0.001095124
Angola,AO,AGO,Thi+D+F,Value,V,Adaptation,0,0
Angola,AO,AGO,CV+Thi+D+F,Value,V,Adaptation,0.000963112,0.005262971
Angola,AO,AGO,ExCV,Population,R,Adaptation,0,0
Angola,AO,AGO,HCV,Population,R,Adaptation,2.018489003,0.371318119
Angola,AO,AGO,Thi,Population,R,Adaptation,0.953395812,0.175385221
Angola,AO,AGO,CV+Thi,Population,R,Adaptation,1.493905367,0.274816523
Angola,AO,AGO,D,Population,R,Adaptation,0,0
Angola,AO,AGO,CV+D,Population,R,Adaptation,0.347457755,0.063917792
Angola,AO,AGO,Thi+D,Population,R,Adaptation,0,0
Angola,AO,AGO,CV+Thi+D,Population,R,Adaptation,1.146101703,0.210835099
Angola,AO,AGO,F,Population,R,Adaptation,0.757892239,0.139420685
Angola,AO,AGO,CV+F,Population,R,Adaptation,0.14253434,0.026220397
Angola,AO,AGO,Thi+F,Population,R,Adaptation,0.115694438,0.02128297
Angola,AO,AGO,CV+Thi+F,Population,R,Adaptation,0.303938412,0.055912041
Angola,AO,AGO,D+F,Population,R,Adaptation,0,0
Angola,AO,AGO,CV+D+F,Population,R,Adaptation,0.003215602,0.000591537
Angola,AO,AGO,Thi+D+F,Population,R,Adaptation,0,0
Angola,AO,AGO,CV+Thi+D+F,Population,R,Adaptation,0.213825617,0.03933503
Angola,AO,AGO,ExCV,Pasture,P,Adaptation,0,0
Angola,AO,AGO,HCV,Pasture,P,Adaptation,4.45984577,0.767456073
Angola,AO,AGO,Thi,Pasture,P,Adaptation,2.682418914,0.461594143
Angola,AO,AGO,CV+Thi,Pasture,P,Adaptation,9.155032548,1.575409933
Angola,AO,AGO,D,Pasture,P,Adaptation,0,0
Angola,AO,AGO,CV+D,Pasture,P,Adaptation,3.10915276,0.535027059
Angola,AO,AGO,Thi+D,Pasture,P,Adaptation,0,0
Angola,AO,AGO,CV+Thi+D,Pasture,P,Adaptation,2.70992236,0.466326972
Angola,AO,AGO,F,Pasture,P,Adaptation,1.414449059,0.243400238
Angola,AO,AGO,CV+F,Pasture,P,Adaptation,0.213777509,0.036787112
Angola,AO,AGO,Thi+F,Pasture,P,Adaptation,0.184964185,0.031828878
Angola,AO,AGO,CV+Thi+F,Pasture,P,Adaptation,0.34552943,0.059459155
Angola,AO,AGO,D+F,Pasture,P,Adaptation,0,0
Angola,AO,AGO,CV+D+F,Pasture,P,Adaptation,0.026320652,0.004529292
Angola,AO,AGO,Thi+D+F,Pasture,P,Adaptation,0,0
Angola,AO,AGO,CV+Thi+D+F,Pasture,P,Adaptation,0.104521989,0.01798628
Angola,AO,AGO,ExCV,LUs,L,Adaptation,0,0
Angola,AO,AGO,HCV,LUs,L,Adaptation,0.780388931,0.345464939
Angola,AO,AGO,Thi,LUs,L,Adaptation,0.05129613,0.022707926
Angola,AO,AGO,CV+Thi,LUs,L,Adaptation,0.925338797,0.409631785
Angola,AO,AGO,D,LUs,L,Adaptation,0,0
Angola,AO,AGO,CV+D,LUs,L,Adaptation,0.513464502,0.227302023
Angola,AO,AGO,Thi+D,LUs,L,Adaptation,0,0
Angola,AO,AGO,CV+Thi+D,LUs,L,Adaptation,0.79435745,0.351648565
Angola,AO,AGO,F,LUs,L,Adaptation,0.064234456,0.028435504
Angola,AO,AGO,CV+F,LUs,L,Adaptation,0.078303536,0.034663647
Angola,AO,AGO,Thi+F,LUs,L,Adaptation,0.005424491,0.00240133
Angola,AO,AGO,CV+Thi+F,LUs,L,Adaptation,0.080838399,0.035785788
Angola,AO,AGO,D+F,LUs,L,Adaptation,0,0
Angola,AO,AGO,CV+D+F,LUs,L,Adaptation,0.010779893,0.004772076
Angola,AO,AGO,Thi+D+F,LUs,L,Adaptation,0,0
Angola,AO,AGO,CV+Thi+D+F,LUs,L,Adaptation,0.038233828,0.016925467
Burundi,BI,BDI,ExCV,Value,V,Adaptation,0,0
Burundi,BI,BDI,HCV,Value,V,Adaptation,0,0
Burundi,BI,BDI,Thi,Value,V,Adaptation,0.000707957,0.003868667
Burundi,BI,BDI,CV+Thi,Value,V,Adaptation,0,0
Burundi,BI,BDI,D,Value,V,Adaptation,0,0
Burundi,BI,BDI,CV+D,Value,V,Adaptation,0,0
Burundi,BI,BDI,Thi+D,Value,V,Adaptation,0,0
Burundi,BI,BDI,CV+Thi+D,Value,V,Adaptation,0,0
Burundi,BI,BDI,F,Value,V,Adaptation,0.018688498,0.102124203
Burundi,BI,BDI,CV+F,Value,V,Adaptation,0,0
Burundi,BI,BDI,Thi+F,Value,V,Adaptation,0.00129705,0.007087792
Burundi,BI,BDI,CV+Thi+F,Value,V,Adaptation,0,0
Burundi,BI,BDI,D+F,Value,V,Adaptation,0,0
Burundi,BI,BDI,CV+D+F,Value,V,Adaptation,0,0
Burundi,BI,BDI,Thi+D+F,Value,V,Adaptation,0,0
Burundi,BI,BDI,CV+Thi+D+F,Value,V,Adaptation,0,0
Burundi,BI,BDI,ExCV,Population,R,Adaptation,0,0
Burundi,BI,BDI,HCV,Population,R,Adaptation,0,0
Burundi,BI,BDI,Thi,Population,R,Adaptation,0,0
Burundi,BI,BDI,CV+Thi,Population,R,Adaptation,0,0
Burundi,BI,BDI,D,Population,R,Adaptation,0,0
Burundi,BI,BDI,CV+D,Population,R,Adaptation,0,0
Burundi,BI,BDI,Thi+D,Population,R,Adaptation,0,0
Burundi,BI,BDI,CV+Thi+D,Population,R,Adaptation,0,0
Burundi,BI,BDI,F,Population,R,Adaptation,1.369513621,0.25193361
Burundi,BI,BDI,CV+F,Population,R,Adaptation,0,0
Burundi,BI,BDI,Thi+F,Population,R,Adaptation,0.177332605,0.032621832
Burundi,BI,BDI,CV+Thi+F,Population,R,Adaptation,0,0
Burundi,BI,BDI,D+F,Population,R,Adaptation,0,0
Burundi,BI,BDI,CV+D+F,Population,R,Adaptation,0,0
Burundi,BI,BDI,Thi+D+F,Population,R,Adaptation,0,0
Burundi,BI,BDI,CV+Thi+D+F,Population,R,Adaptation,0,0
Burundi,BI,BDI,ExCV,Pasture,P,Adaptation,0,0
Burundi,BI,BDI,HCV,Pasture,P,Adaptation,0,0
Burundi,BI,BDI,Thi,Pasture,P,Adaptation,0.007470333,0.001285505
Burundi,BI,BDI,CV+Thi,Pasture,P,Adaptation,0,0
Burundi,BI,BDI,D,Pasture,P,Adaptation,0,0
Burundi,BI,BDI,CV+D,Pasture,P,Adaptation,0,0
Burundi,BI,BDI,Thi+D,Pasture,P,Adaptation,0,0
Burundi,BI,BDI,CV+Thi+D,Pasture,P,Adaptation,0,0
Burundi,BI,BDI,F,Pasture,P,Adaptation,0.109714937,0.018879889
Burundi,BI,BDI,CV+F,Pasture,P,Adaptation,0,0
Burundi,BI,BDI,Thi+F,Pasture,P,Adaptation,0.009043821,0.001556273
Burundi,BI,BDI,CV+Thi+F,Pasture,P,Adaptation,0,0
Burundi,BI,BDI,D+F,Pasture,P,Adaptation,0,0
Burundi,BI,BDI,CV+D+F,Pasture,P,Adaptation,0,0
Burundi,BI,BDI,Thi+D+F,Pasture,P,Adaptation,0,0
Burundi,BI,BDI,CV+Thi+D+F,Pasture,P,Adaptation,0,0
Burundi,BI,BDI,ExCV,LUs,L,Adaptation,0,0
Burundi,BI,BDI,HCV,LUs,L,Adaptation,0,0
Burundi,BI,BDI,Thi,LUs,L,Adaptation,0.013998752,0.00619701
Burundi,BI,BDI,CV+Thi,LUs,L,Adaptation,0,0
Burundi,BI,BDI,D,LUs,L,Adaptation,0,0
Burundi,BI,BDI,CV+D,LUs,L,Adaptation,0,0
Burundi,BI,BDI,Thi+D,LUs,L,Adaptation,0,0
Burundi,BI,BDI,CV+Thi+D,LUs,L,Adaptation,0,0
Burundi,BI,BDI,F,LUs,L,Adaptation,0.209840977,0.09289304
Burundi,BI,BDI,CV+F,LUs,L,Adaptation,0,0
Burundi,BI,BDI,Thi+F,LUs,L,Adaptation,0.025522727,0.011298478
Burundi,BI,BDI,CV+Thi+F,LUs,L,Adaptation,0,0
Burundi,BI,BDI,D+F,LUs,L,Adaptation,0,0
Burundi,BI,BDI,CV+D+F,LUs,L,Adaptation,0,0
Burundi,BI,BDI,Thi+D+F,LUs,L,Adaptation,0,0
Burundi,BI,BDI,CV+Thi+D+F,LUs,L,Adaptation,0,0
Benin,BJ,BEN,ExCV,Value,V,Adaptation,0,0
Benin,BJ,BEN,HCV,Value,V,Adaptation,0,0
Benin,BJ,BEN,Thi,Value,V,Adaptation,0.118088999,0.645303059
Benin,BJ,BEN,CV+Thi,Value,V,Adaptation,0.014186297,0.077521705
Benin,BJ,BEN,D,Value,V,Adaptation,0,0
Benin,BJ,BEN,CV+D,Value,V,Adaptation,0,0
Benin,BJ,BEN,Thi+D,Value,V,Adaptation,0.001172839,0.006409037
Benin,BJ,BEN,CV+Thi+D,Value,V,Adaptation,0,0
Benin,BJ,BEN,F,Value,V,Adaptation,0,0
Benin,BJ,BEN,CV+F,Value,V,Adaptation,0,0
