country,ISO2,ISO3,lps,direct_emissions,indirect_emissions,total_emissions
Angola,AO,AGO,LGA,2.5962254,0.49701813,3.09324353
Angola,AO,AGO,LGH,0.835237591,0.27265294,1.107890531
Angola,AO,AGO,LGT,0.53683342,0.080963279,0.617796699
Angola,AO,AGO,LGY,1.00903E-05,2.99993E-05,4.00896E-05
Angola,AO,AGO,MIA,0.002513256,0.000287004,0.00280026
Angola,AO,AGO,MRA,1.531154075,0.11454747,1.645701545
Angola,AO,AGO,MRH,0.056894597,0.047536285,0.104430882
Angola,AO,AGO,MRT,0.250269436,0.010999504,0.26126894
Angola,AO,AGO,MRY,0,8.29116E-05,0
Angola,AO,AGO,Other,0.367613571,0.25546711,0.623080681
Angola,AO,AGO,Urban,0.000629758,0,0
Benin,BJ,BEN,LGA,1.113457059,0,0
Benin,BJ,BEN,LGH,0.522396032,1.14746E-05,0.522407506
Benin,BJ,BEN,MIH,0.006387221,0,0
Benin,BJ,BEN,MRA,1.806039589,0,0
Benin,BJ,BEN,MRH,0.90884853,0,0
Benin,BJ,BEN,Other,0.003153613,0,0
Benin,BJ,BEN,Urban,0,0,0
Botswana,BW,BWA,LGA,0.982076574,0,0
Botswana,BW,BWA,MRA,0.226650032,0,0
Botswana,BW,BWA,Other,0.003726192,0,0
Botswana,BW,BWA,Urban,0.001348698,0,0
Burkina Faso,BF,BFA,LGA,6.467838941,0,0
Burkina Faso,BF,BFA,LGH,0.174459448,0,0
Burkina Faso,BF,BFA,MIA,0.005885969,0,0
Burkina Faso,BF,BFA,MRA,18.17207145,0,0
Burkina Faso,BF,BFA,MRH,0.002507407,0,0
Burkina Faso,BF,BFA,Other,0,0,0
Burkina Faso,BF,BFA,Urban,0.00954157,0,0
Burundi,BI,BDI,LGH,0.006668712,0,0
Burundi,BI,BDI,LGT,0.006320077,0,0
Burundi,BI,BDI,MIH,0.021497236,0.000734793,0.022232029
Burundi,BI,BDI,MIT,0.003913805,0,0
