country,lps,rural_pop (millons),VOP (millos usd),TLU (millons)),pasture_area (millons)
Angola,LGA,2.9,0.7352,1.9091,17.0376
Angola,LGH,4.377,0.7408,0.3529,16.3762
Angola,LGT,1.464,0.5839,0.3124,3.1341
Angola,MRA,1.278,0.4399,1.0834,2.813
Angola,MRH,0.619,0.0519,0.0572,0.89
Angola,MRT,0.929,0.2572,0.2415,0.3334
Angola,MIA,0.084,0.0032,0.0137,0.0312
Angola,Other,3.349,0.374,0.1915,11.2491
Burundi,LGT,0.017,0.0029,0.0019,
Burundi,MRH,0.864,0.1435,0.1274,0.1141
Burundi,MRT,3.276,0.4988,0.5981,0.3963
Burundi,MIH,0.057,0.0082,0.0134,0.0162
Burundi,Other,0.257,0.0275,0.0274,0.009
Benin,LGA,0.861,0.2172,0.4118,0.1522
Benin,LGH,0.684,0.1983,0.1146,0.066
Benin,MRA,2.211,0.4834,0.8966,0.2129
Benin,MRH,3.19,0.5225,0.444,0.1233
Benin,MIH,0.045,0.0042,0.0034,0.0012
Burkina Faso,LGA,4.32,1.2292,3.1029,1.7279
Burkina Faso,LGH,0.116,0.0337,0.0646,0.2104
Burkina Faso,MRA,11.195,4.0928,5.609,4.0355
Burkina Faso,MRH,0.005,0.0003,0.0025,0.0012
Burkina Faso,MIA,0.018,0.0016,0.0067,0.0048
Botswana,LGA,1.226,0.7614,1.6246,22.1456
Botswana,MRA,0.498,0.2426,0.5093,2.3302
Botswana,Urban,0.005,0.0041,0.0091,0.0063
Botswana,Other,0.014,0.0038,0.0162,0.276
Central African Republic,LGA,0.228,0.0733,0.2535,1.3271
Central African Republic,LGH,2.172,1.3552,2.5896,1.224
Central African Republic,MRA,0.111,0.0304,0.1532,0.4499
Central African Republic,MRH,0.641,0.2057,0.4166,0.1519
Central African Republic,Other,0.605,0.1098,0.2101,0.0102
Cote d'Ivoire,LGA,0.125,0.0641,0.059,0.2296
Cote d'Ivoire,LGH,2.83,1.1055,0.7048,6.4363
Cote d'Ivoire,MRA,0.372,0.1443,0.2202,0.3876
Cote d'Ivoire,MRH,11.685,1.2647,0.9676,1.9377
Cote d'Ivoire,MIA,0.004,0.0011,0.0021,0.0031
Cote d'Ivoire,MIH,0.042,0.0078,0.0038,0.0439
Cote d'Ivoire,Other,0.649,0.0384,0.0514,0.0355
Cameroon,LGA,0.268,0.0904,0.0346,0.1422
Cameroon,LGH,3.189,2.0906,1.3996,0.3492
Cameroon,LGT,0.484,0.1674,0.2622,0.0062
Cameroon,MRA,5.485,0.9998,1.4726,1.323
Cameroon,MRH,1.431,0.3623,0.2873,0.0379
Cameroon,MRT,1.065,0.3109,0.4248,0.0115
Cameroon,MIA,0.007,0.0072,0.0166,0.0101
Cameroon,MIH,0.008,0.001,0.002,
Cameroon,MIT,0.024,0.005,0.0079,0.0001
Cameroon,Other,3.76,0.9552,0.6466,0.0757
Democratic Republic of the congo,LGA,1.961,0.0123,0.0186,1.4283
Democratic Republic of the congo,LGH,14.339,0.4665,0.3962,7.7956
Democratic Republic of the congo,LGT,0.655,0.0129,0.0272,0.3726
Democratic Republic of the congo,MRA,0.925,0.0014,0.0183,0.2298
Democratic Republic of the congo,MRH,12.953,0.2141,0.3308,1.1013
Democratic Republic of the congo,MRT,3.064,0.0487,0.1798,0.1272
Democratic Republic of the congo,MIH,0.008,0.0003,0.0003,0.0002
Democratic Republic of the congo,Other,38.908,1.0029,1.0835,3.7996
Republic of the Congo,LGH,0.265,0.0286,0.1165,1.2708
Republic of the Congo,MRH,0.114,0.0064,0.0328,0.1479
Republic of the Congo,MIH,0.006,0.0002,0.0012,0.0036
Republic of the Congo,Other,1.985,0.0899,0.1679,0.5089
Djibouti,LGA,0.538,0.1783,0.3162,0.616
Djibouti,Other,0.005,0.0038,0.0022,0.0011
Eritrea,LGA,1.449,0.5498,0.9269,4.518
Eritrea,LGT,0.119,0.0198,0.0227,0.0675
Eritrea,MRA,1.322,0.3492,0.7742,1.7966
Eritrea,MRT,0.362,0.044,0.1559,0.1833
Eritrea,MIA,0.039,0.0026,0.0092,0.018
Eritrea,Other,0.021,0.0024,0.005,0.022
Ethiopia,LGA,10.193,1.8923,6.789,13.6058
Ethiopia,LGH,1.678,1.1565,0.7561,0.6423
Ethiopia,LGT,2.754,1.4297,1.7333,0.727
Ethiopia,MRA,8.493,2.5689,6.5423,2.6051
Ethiopia,MRH,2.397,1.1589,1.326,0.3622
Ethiopia,MRT,33.184,19.0324,25.4082,1.7102
Ethiopia,MIA,0.272,0.0478,0.2042,0.0441
Ethiopia,MIT,0.648,0.3648,0.5491,0.0217
Ethiopia,Other,1.959,1.1912,1.0172,0.0183
Gabon,LGH,0.052,0.0053,0.0082,0.2134
Gabon,MRH,0.213,0.0139,0.0282,0.1652
Gabon,Other,1.537,0.1623,0.1629,0.1959
Ghana,LGA,0.668,0.2473,0.2121,0.9018
Ghana,LGH,2.242,0.5706,0.4708,4.0077
Ghana,MRA,1.797,0.3367,0.5361,0.8265
Ghana,MRH,10.324,1.6828,1.2004,1.554
Ghana,Other,0.718,0.0663,0.048,0.0078
Guinea,LGA,1.812,0.4113,1.5174,1.7493
Guinea,LGH,2.204,0.9539,1.1054,2.2878
Guinea,MRA,0.59,0.0956,0.2872,0.4069
Guinea,MRH,2.628,1.1683,0.9929,0.7238
Guinea,MIA,0.067,0.0081,0.0162,0.0403
Guinea,Other,0.197,0.1017,0.043,0.0211
Gambia,LGA,0.087,0.0223,0.053,0.0629
Gambia,MRA,0.795,0.16,0.3334,0.3537
Gambia,Other,0.011,0.0016,0.0025,0.0153
Guinea-Bissau,LGA,0.314,0.1187,0.3172,0.5782
Guinea-Bissau,MRA,0.47,0.1396,0.2877,0.44
Guinea-Bissau,MRH,0.034,0.0098,0.0037,0.0104
Guinea-Bissau,MIA,0.03,0.0056,0.0133,0.0166
Guinea-Bissau,Other,0.17,0.0541,0.0324,0.0201
Equatorial Guinea,LGH,0.015,0.0001,0.0003,0.0049
Equatorial Guinea,MRH,0.152,0.0012,0.0057,
Equatorial Guinea,MRT,0.036,0,,
Equatorial Guinea,Other,0.647,0.0044,0.0135,0.0171
Kenya,LGA,7.046,1.9193,7.5797,17.7624
Kenya,LGH,0.242,0.168,0.1645,0.3147
Kenya,LGT,0.935,1.0567,0.9947,0.6714
Kenya,MRA,4.047,0.7868,1.7275,1.4182
Kenya,MRH,4.594,1.6048,1.6249,0.3653
Kenya,MRT,10.417,4.3176,3.677,0.6967
Kenya,MIA,0.215,0.0497,0.075,0.0488
Kenya,MIH,0.141,0.0929,0.0636,0.0112
Kenya,MIT,0.025,0.0185,0.0177,0.0056
Kenya,Other,5.26,2.2374,1.5712,0.2968
Liberia,MRY,0.004,0.0001,0.0002,
Liberia,MRH,2.165,0.2261,0.1962,0.0004
Liberia,Other,0.489,0.0899,0.0525,
Lesotho,LGT,0.566,1.0506,0.3738,1.2496
Lesotho,MRT,0.852,0.7996,0.2674,0.6515
Lesotho,MIT,0.011,0.0032,0.0016,0.0062
Madagascar,LGA,6.509,2.0491,4.2382,15.7409
Madagascar,LGH,1.965,1.5094,0.7464,2.3597
Madagascar,LGT,1.754,1.2761,0.4969,1.1184
Madagascar,MRA,0.452,0.1427,0.1879,0.2319
Madagascar,MRH,3.695,1.74,0.5883,0.2038
Madagascar,MRT,0.08,0.0681,0.0212,0.0179
Madagascar,MIA,0.412,0.0945,0.1971,0.5191
Madagascar,MIH,0.199,0.0946,0.0304,0.0273
Madagascar,MIT,0.068,0.0395,0.0157,0.0293
Madagascar,Other,3.985,2.3728,1.1345,1.4031
Mali,LGY,0.026,0.0651,0.0499,0.7162
Mali,LGA,5.162,1.6445,5.3461,15.2091
Mali,MRA,9.435,2.5182,4.4773,13.4793
Mali,MIA,0.369,0.0417,0.1496,0.2269
Mali,Other,0.047,0.0107,0.0217,0.0121
Mozambique,LGA,6.052,3.3591,0.6749,21.6194
Mozambique,LGH,2.203,0.9687,0.131,4.7064
Mozambique,LGT,0.005,0.0026,0.0012,0.0415
Mozambique,MRA,4.304,1.376,0.4238,4.9038
Mozambique,MRH,1.749,0.5265,0.1425,1.7831
Mozambique,MRT,0.043,0.0038,0.0043,0.0136
Mozambique,MIA,0.067,0.0137,0.0134,0.0805
Mozambique,MIH,0.02,0.0032,0.0011,0.0017
Mozambique,Other,4.802,2.4415,0.4387,7.4709
Mauritania,LGY,0.005,0.0013,0.0926,0.0017
Mauritania,LGA,2.149,1.2686,2.2746,8.6983
Mauritania,MRA,0.441,0.5771,0.3156,1.7137
Mauritania,MIA,0.027,0.0147,0.011,0.026
Malawi,LGA,1.417,0.1863,0.1525,0.6853
Malawi,LGH,0.39,0.1182,0.0586,0.1648
Malawi,LGT,0.049,0.0202,0.0126,0.0753
Malawi,MRA,8.3,0.7779,1.0837,0.6198
Malawi,MRH,2.016,0.3209,0.2077,0.1867
Malawi,MRT,0.194,0.0384,0.0365,0.0248
Malawi,MIA,0.017,0.0014,0.0027,0.0022
Malawi,Other,1.12,0.3694,0.1393,0.2615
Namibia,LGY,0.00002,0.0002,0.0017,0.0146
Namibia,LGA,0.924,1.3154,1.7864,35.455
Namibia,LGT,0.00009,,0.0008,0.016
Namibia,MRA,0.669,0.7022,0.4688,1.3709
Namibia,MRT,0.00006,,0.0009,0.0155
Namibia,Urban,0.00007,0.0593,0.0062,0.0048
Namibia,Other,0.004,0.0088,0.0022,0.0185
Niger,LGY,0.036,0.0383,0.0282,0.052
Niger,LGA,5.028,1.7132,3.5114,14.8334
Niger,MRA,13.858,1.7056,6.0294,5.6524
Niger,MIA,0.069,0.0023,0.0202,0.0167
Niger,Other,0.03,0.0008,0.0143,0.0083
Nigeria,LGA,0.54,0.1129,0.1356,0.6173
Nigeria,LGH,5.417,1.8641,1.3014,1.9715
Nigeria,LGT,0.106,0.1198,0.0301,0.0082
Nigeria,MRA,46.009,9.6789,15.592,11.9759
Nigeria,MRH,37.502,12.4056,6.5403,3.4617
Nigeria,MRT,0.135,0.1477,0.0351,0.0119
Nigeria,MIA,0.521,0.0903,0.1357,0.1135
Nigeria,MIH,0.042,0.004,0.0093,0.0034
Nigeria,Other,9.195,0.545,0.3318,0.0131
Rwanda,LGH,0.055,0.008,0.0075,0.0121
Rwanda,LGT,0.001,,,0.0038
Rwanda,MRH,1.802,0.3019,0.3792,0.2054
Rwanda,MRT,3.196,0.5803,0.9945,0.2177
Rwanda,Other,0.184,0.0297,0.0545,0.0127
Sudan,LGY,0.644,0.1036,0.4906,1.1847
Sudan,LGA,13.6,5.0872,8.4214,35.7423
Sudan,MRY,0.008,0.0009,0.0014,0.0077
Sudan,MRA,14.43,7.6705,16.2836,32.0682
Sudan,MRT,0.011,0.0138,0.0366,0.0297
Sudan,MIY,0.094,0.0013,0.019,0.0996
Sudan,MIA,2.713,0.7714,2.33,1.3713
Sudan,Other,0.031,0.0005,0.0031,0.0259
Senegal,LGA,1.743,0.6449,0.8227,1.5417
Senegal,MRA,6.921,2.504,3.3503,4.0357
Senegal,MIA,0.056,0.0114,0.0146,0.0147
Senegal,Other,0.089,0.0616,0.0488,0.0235
Sierra Leone,LGH,0.269,0.0699,0.0709,0.0909
