id_country,country,ISO3,Region,LSP,System_Full
34,Afghanistan,AFG,South Asia,"LGA,LGT,MRA,MRT,MIA,MIT,Other","Rangelands Arid,Rangelands Temperate,Mixed Rainfed Arid,Mixed Rainfed Temperate,Mixed Irrigated Arid,Mixed Irrigated Temperate,Other"
18,Angola,AGO,Sub-Saharan Africa,"LGY,LGA,LGH,LGT,MRY,MRA,MRH,MRT,MIA,Other","Rangelands Hyperarid,Rangelands Arid,Rangelands Humid,Rangelands Temperate,Mixed Rainfed Hyperarid,Mixed Rainfed Arid,Mixed Rainfed Humid,Mixed Rainfed Temperate,Mixed Irrigated Arid,Other"
7,United Arab Emirates,ARE,Middle East & North Africa,"LGY,LGA,MIA","Rangelands Hyperarid,Rangelands Arid,Mixed Irrigated Arid"
24,Argentina,ARG,Latin America & Caribbean,"LGY,LGA,LGH,LGT,MRA,MRH,MRT,MIA,MIH,MIT,Other","Rangelands Hyperarid,Rangelands Arid,Rangelands Humid,Rangelands Temperate,Mixed Rainfed Arid,Mixed Rainfed Humid,Mixed Rainfed Temperate,Mixed Irrigated Arid,Mixed Irrigated Humid,Mixed Irrigated Temperate,Other"
4,American Samoa,ASM,East Asia & Pacific,Unsuitable,Unsuitable
10,Azerbaijan,AZE,Europe & Central Asia,"LGA,LGT,MRA,MRT,MIA,MIT,Other","Rangelands Arid,Rangelands Temperate,Mixed Rainfed Arid,Mixed Rainfed Temperate,Mixed Irrigated Arid,Mixed Irrigated Temperate,Other"
17,Burundi,BDI,Sub-Saharan Africa,"LGH,LGT,MRH,MRT,MIH,MIT,Other","Rangelands Humid,Rangelands Temperate,Mixed Rainfed Humid,Mixed Rainfed Temperate,Mixed Irrigated Humid,Mixed Irrigated Temperate,Other"
12,Benin,BEN,Sub-Saharan Africa,"LGA,LGH,MRA,MRH,MIH,Other","Rangelands Arid,Rangelands Humid,Mixed Rainfed Arid,Mixed Rainfed Humid,Mixed Irrigated Humid,Other"
13,Burkina Faso,BFA,Sub-Saharan Africa,"LGA,LGH,MRA,MRH,MIA","Rangelands Arid,Rangelands Humid,Mixed Rainfed Arid,Mixed Rainfed Humid,Mixed Irrigated Arid"
8,Bangladesh,BGD,South Asia,"LGH,MRY,MRH,MIY,MIH,Other","Rangelands Humid,Mixed Rainfed Hyperarid,Mixed Rainfed Humid,Mixed Irrigated Hyperarid,Mixed Irrigated Humid,Other"
6,Belize,BLZ,Latin America & Caribbean,"LGY,LGH,MRH,Other","Rangelands Hyperarid,Rangelands Humid,Mixed Rainfed Humid,Other"
9,Bolivia,BOL,Latin America & Caribbean,"LGA,LGH,LGT,MRA,MRH,MRT,MIA,MIT,Other","Rangelands Arid,Rangelands Humid,Rangelands Temperate,Mixed Rainfed Arid,Mixed Rainfed Humid,Mixed Rainfed Temperate,Mixed Irrigated Arid,Mixed Irrigated Temperate,Other"
