country,ISO2,ISO3,adaptation_index,adaptation_cat,mitigation_index,mitigation_cat,10ada-90mit,10ada-90mit-cat,20ada-80mit,20ada-80mit-cat,30ada-70mit,30ada-70mit-cat,40ada-60mit,40ada-60mit-cat,50ada-50mit,50ada-50mit-cat,60ada-40mit,60ada-40mit-cat,70ada-30mit,70ada-30mit-cat,80ada-20mit,80ada-20mit-cat,90ada-10mit,90ada-10mit-cat
Ethiopia,ET,ETH,0.135665296,Medium,0.102364722,High,0.105694779,High,0.105028768,High,0.105228571,High,0.105295173,High,0.105361774,High,0.105428375,High,0.105494976,High,0.105561577,High,0.105628178,High
Nigeria,NG,NGA,0.164848466,High,0.077475911,High,0.086213167,High,0.084465715,High,0.084989951,High,0.085164696,High,0.085339441,High,0.085514186,High,0.085688931,High,0.085863676,High,0.086038421,High
Sudan,SD,SDN,0.253633663,High,0.045353703,High,0.066181699,High,0.0620161,High,0.06326578,High,0.063682339,High,0.064098899,High,0.064515459,High,0.064932019,High,0.065348579,High,0.065765139,High
Kenya,KE,KEN,0.115471253,Medium,0.048679133,High,0.055358345,High,0.054022503,High,0.054423255,High,0.05455684,High,0.054690424,High,0.054824008,High,0.054957592,High,0.055091177,High,0.055224761,High
South Africa,ZA,ZAF,0.238903441,High,0.031566506,Medium,0.0523002,High,0.048153461,High,0.049397482,High,0.049812156,High,0.05022683,High,0.050641504,High,0.051056178,High,0.051470852,High,0.051885526,High
Chad,TD,TCD,0.152375671,High,0.037921515,High,0.049366931,Medium,0.047077847,Medium,0.047764572,Medium,0.047993481,Medium,0.048222389,Medium,0.048451297,Medium,0.048680206,Medium,0.048909114,Medium,0.049138022,Medium
Tanzania,TZ,TZA,0.134391163,Medium,0.037211499,Medium,0.046929465,Medium,0.044985872,Medium,0.04556895,Medium,0.045763309,Medium,0.045957669,Medium,0.046152028,Medium,0.046346387,Medium,0.046540747,Medium,0.046735106,Medium
Mali,ML,MLI,0.119866305,Medium,0.034628322,Medium,0.04315212,Medium,0.041447361,Medium,0.041958789,Medium,0.042129265,Medium,0.04229974,Medium,0.042470216,Medium,0.042640692,Medium,0.042811168,Medium,0.042981644,Medium
Niger,NE,NER,0.07446696,Medium,0.031876289,Medium,0.036135356,Medium,0.035283543,Medium,0.035539087,Medium,0.035624268,Medium,0.035709449,Medium,0.035794631,Medium,0.035879812,Medium,0.035964993,Medium,0.036050175,Medium
Burkina Faso,BF,BFA,0.046367649,Medium,0.032777252,Medium,0.034136292,Medium,0.033864484,Medium,0.033946026,Medium,0.033973207,Medium,0.034000388,Medium,0.034027569,Medium,0.034054749,Medium,0.03408193,Medium,0.034109111,Medium
South Sudan,SS,SSD,0.133074989,Medium,0.021771166,Medium,0.032901548,Medium,0.030675472,Medium,0.031343295,Medium,0.031565902,Medium,0.03178851,Medium,0.032011118,Medium,0.032233725,Medium,0.032456333,Medium,0.032678941,Medium
Uganda,UG,UGA,0.026742905,Medium,0.02816159,Medium,0.028019722,Medium,0.028048095,Medium,0.028039583,Medium,0.028036746,Medium,0.028033908,Medium,0.028031071,Medium,0.028028234,Medium,0.028025396,Medium,0.028022559,Medium
Madagascar,MG,MDG,0.076415046,Medium,0.022084844,Medium,0.027517864,Medium,0.02643126,Medium,0.026757241,Medium,0.026865902,Medium,0.026974562,Medium,0.027083223,Medium,0.027191883,Medium,0.027300543,Medium,0.027409204,Medium
Guinea,GN,GIN,0.028833259,Medium,0.020538994,Medium,0.021368421,Medium,0.021202535,Medium,0.021252301,Medium,0.021268889,Medium,0.021285478,Medium,0.021302066,Medium,0.021318655,Medium,0.021335243,Medium,0.021351832,Medium
Mozambique,MZ,MOZ,0.15043639,High,0.007097907,Medium,0.021431755,Medium,0.018564986,Medium,0.019425017,Medium,0.019711694,Medium,0.01999837,Medium,0.020285047,Medium,0.020571724,Medium,0.020858401,Medium,0.021145078,Medium
Zambia,ZM,ZMB,0.075125111,Medium,0.012777172,Medium,0.019011966,Medium,0.017765007,Medium,0.018139095,Medium,0.018263791,Medium,0.018388487,Medium,0.018513182,Medium,0.018637878,Medium,0.018762574,Medium,0.01888727,Medium
Angola,AO,AGO,0.086391431,Medium,0.009807109,Medium,0.017465541,Medium,0.015933855,Medium,0.016393361,Medium,0.016546529,Medium,0.016699698,Medium,0.016852867,Medium,0.017006035,Medium,0.017159204,Medium,0.017312373,Medium
Central African Republic,CF,CAF,0.019687744,Low,0.014396093,Medium,0.014925258,Medium,0.014819425,Medium,0.014851175,Medium,0.014861758,Medium,0.014872342,Medium,0.014882925,Medium,0.014893508,Medium,0.014904091,Medium,0.014914675,Medium
Zimbabwe,ZW,ZWE,0.067792255,Medium,0.008445668,Medium,0.014380327,Medium,0.013193395,Medium,0.013549474,Medium,0.013668168,Medium,0.013786861,Medium,0.013905554,Medium,0.014024247,Medium,0.01414294,Medium,0.014261634,Medium
Cameroon,CM,CMR,0.018554221,Low,0.013668024,Medium,0.014156644,Medium,0.01405892,Medium,0.014088237,Medium,0.014098009,Medium,0.014107782,Medium,0.014117554,Medium,0.014127327,Medium,0.014137099,Medium,0.014146871,Medium
Namibia,,NAM,0.105230328,Medium,0.003979429,Low,0.014104519,Medium,0.012079501,Medium,0.012687006,Medium,0.012889508,Medium,0.01309201,Medium,0.013294512,Medium,0.013497014,Medium,0.013699515,Medium,0.013902017,Medium
Senegal,SN,SEN,0.031885242,Medium,0.010898055,Medium,0.012996774,Medium,0.01257703,Medium,0.012702953,Medium,0.012744927,Medium,0.012786902,Medium,0.012828876,Medium,0.012870851,Medium,0.012912825,Medium,0.012954799,Medium
Somalia,SO,SOM,0.002670062,Low,0.012824322,Medium,0.011808896,Medium,0.012011981,Medium,0.011951056,Medium,0.011930747,Medium,0.011910439,Medium,0.01189013,Medium,0.011869822,Medium,0.011849513,Medium,0.011829205,Medium
Ghana,GH,GHA,0.03176549,Medium,0.007929563,Medium,0.010313156,Medium,0.009836437,Medium,0.009979453,Medium,0.010027125,Medium,0.010074796,Medium,0.010122468,Medium,0.01017014,Medium,0.010217812,Medium,0.010265484,Medium
Democratic Republic of the congo,CD,COD,0.057622074,Medium,0.004606178,Low,0.009907768,Low,0.00884745,Low,0.009165545,Low,0.009271577,Low,0.009377609,Low,0.00948364,Low,0.009589672,Low,0.009695704,Low,0.009801736,Low
Botswana,BW,BWA,0.081711969,Medium,0.00158688,Low,0.009599389,Low,0.007996887,Low,0.008477638,Low,0.008637888,Low,0.008798138,Low,0.008958388,Low,0.009118638,Low,0.009278889,Low,0.009439139,Low
Cote d'Ivoire,CI,CIV,0.043442994,Medium,0.005223415,Low,0.009045373,Low,0.008280981,Low,0.008510299,Low,0.008586738,Low,0.008663177,Low,0.008739616,Low,0.008816055,Low,0.008892495,Low,0.008968934,Low
Mauritania,MR,MRT,0.009199694,Low,0.007932569,Medium,0.008059282,Low,0.008033939,Low,0.008041542,Low,0.008044076,Low,0.00804661,Low,0.008049145,Low,0.008051679,Low,0.008054213,Low,0.008056747,Low
Malawi,MW,MWI,0.016621449,Low,0.005282569,Low,0.006416457,Low,0.006189679,Low,0.006257713,Low,0.00628039,Low,0.006303068,Low,0.006325746,Low,0.006348424,Low,0.006371101,Low,0.006393779,Low
Benin,BJ,BEN,0.010474031,Low,0.005728117,Low,0.006202708,Low,0.00610779,Low,0.006136266,Low,0.006145757,Low,0.006155249,Low,0.006164741,Low,0.006174233,Low,0.006183725,Low,0.006193217,Low
Eritrea,ER,ERI,0.001721215,Low,0.003759256,Low,0.003555452,Low,0.003596213,Low,0.003583984,Low,0.003579908,Low,0.003575832,Low,0.003571756,Low,0.00356768,Low,0.003563604,Low,0.003559528,Low
Togo,TG,TGO,0.008222967,Low,0.0026952,Low,0.003247977,Low,0.003137421,Low,0.003170588,Low,0.003181643,Low,0.003192699,Low,0.003203755,Low,0.00321481,Low,0.003225866,Low,0.003236921,Low
Rwanda,RW,RWA,0.003159149,Low,0.00286226,Low,0.002891949,Low,0.002886011,Low,0.002887792,Low,0.002888386,Low,0.00288898,Low,0.002889574,Low,0.002890168,Low,0.002890761,Low,0.002891355,Low
Guinea-Bissau,GW,GNB,0.005713905,Low,0.002040796,Low,0.002408107,Low,0.002334645,Low,0.002356683,Low,0.00236403,Low,0.002371376,Low,0.002378722,Low,0.002386068,Low,0.002393414,Low,0.002400761,Low
Sierra Leone,SL,SLE,0.00511545,Low,0.001639867,Low,0.001987425,Low,0.001917914,Low,0.001938767,Low,0.001945718,Low,0.001952669,Low,0.001959621,Low,0.001966572,Low,0.001973523,Low,0.001980474,Low
Burundi,BI,BDI,0.001645125,Low,0.001999368,Low,0.001963944,Low,0.001971029,Low,0.001968903,Low,0.001968195,Low,0.001967486,Low,0.001966778,Low,0.001966069,Low,0.001965361,Low,0.001964652,Low
Republic of the Congo,CG,COG,0.007540143,Low,0.001358553,Low,0.001976712,Low,0.00185308,Low,0.00189017,Low,0.001902533,Low,0.001914896,Low,0.001927259,Low,0.001939622,Low,0.001951986,Low,0.001964349,Low
Lesotho,LS,LSO,0.009622472,Low,0.001121719,Low,0.001971794,Low,0.001801779,Low,0.001852784,Low,0.001869785,Low,0.001886787,Low,0.001903788,Low,0.00192079,Low,0.001937791,Low,0.001954793,Low
Djibouti,DJ,DJI,0.002919273,Low,0.000562418,Low,0.000798104,Low,0.000750966,Low,0.000765108,Low,0.000769821,Low,0.000774535,Low,0.000779249,Low,0.000783962,Low,0.000788676,Low,0.00079339,Low
Gabon,GA,GAB,0.002434868,Low,0.000483345,Low,0.000678497,Low,0.000639467,Low,0.000651176,Low,0.000655079,Low,0.000658982,Low,0.000662885,Low,0.000666788,Low,0.000670691,Low,0.000674594,Low
Liberia,LR,LBR,0.002412844,Low,0.000222142,Low,0.000441212,Low,0.000397398,Low,0.000410542,Low,0.000414924,Low,0.000419305,Low,0.000423687,Low,0.000428068,Low,0.000432449,Low,0.000436831,Low
Equatorial Guinea,GQ,GNQ,8.84773E-06,Low,1.22704E-05,Low,1.19281E-05,Low,1.19966E-05,Low,1.19761E-05,Low,1.19692E-05,Low,1.19624E-05,Low,1.19555E-05,Low,1.19487E-05,Low,1.19418E-05,Low,1.1935E-05,Low
