admin0_name,description,link_text,link_url
DEFAULT,,,
Angola,"Angola's 2018-2030 national strategies for adapting to climate change with low carbon development and poverty reduction. Particular emphasis is placed on addressing challenges of floods, droughts, soil erosion and rising sea levels.",National Strategy for Climate Change 2018-2030 (ENAC 2018-2030),https://www.fao.org/faolex/results/details/en/c/LEX-FAOC208868/
Angola ,Angola's main document concerning climate change adaptation needs in the agricultural sector,Angola's National Adaptation Programme of Action 2011,https://unfccc.int/resource/docs/napa/ago01.pdf
Angola ,"Adaptation and mitigation strategies for the period of 2020-2025 concerning agriculture, forestry, livestock and fisheries sectors",Nationally Determined Contribution of Angola 2021,https://unfccc.int/sites/default/files/NDC/2022-06/NDC%20Angola.pdf
Benin,"National strategies, programmes, and projects at the institutional level for adaptation and mitigation","Nationally Determined Contribution of Benin, revised submission 2021",https://unfccc.int/sites/default/files/NDC/2022-06/CDN_ACTUALISEE_BENIN2021.pdf
Benin,"A case study of Benin's policy, legal, and institutional framework that mobilized climate finance in its agricultural and food systems sectors",Policy innovations to unlock climate finance for resilient food systems in Benin,https://www.mamopanel.org/resources/climate-finance/reports-and-briefings/benincase-study-adapt-policy-innovations-unlock-c/
Benin,"Range of policies, projects, and programmes at the governmental, non-governmental, producer's organisation, and academic levels ",Innovation Systems for Agriculture and Climate in Benin: an Inventory,https://www.nri.org/images/documents/development-programmes/climate_change/publications/WorkingPaper3Benin.pdf
Botswana,"A range of initiatives and strategic interventions for adaptation and mitigation in priority sectors, including agriculture and food security, with targets for 2020, 2023, 2026 and 2030.",Botswana's National Climate Change Strategy 2018,https://faolex.fao.org/docs/pdf/bot208159.pdf
Botswana,"A range of conservation agriculture strategies for intervention and implementation, with the objectives of increasing average crop yields, reducing production costs, maximizing returns, conserving and enhancing biodiviersity, and enhancing good crop production practices.",The Comprehensive Africa Agriculture Development Programme ex-Pillar 4 (CAADP-XP4) for Botswana,https://www.ccardesa.org/sites/default/files/ickm-documents/Climate%20Smart%20Agriculture%20Initiatives%20in%20Botswana.pdf
Botswana,"A framework for building the country's adaptive capacity and resilience, and facilitate the integration of climate change adaptation into relevant policies,
programmes and activities for specific key sectors, including agriculture.",Botswana's National Adaptation Plan Framework 2020,https://napglobalnetwork.org/wp-content/uploads/2020/06/napgn-en-2020-nap-framework-for-botswana.pdf
Burkina Faso,"One of several CCAFS-led projects to promote food security under a changing climate. This project concerns the establishment of a climate-smart village in Tougou in the Yatenga region. In Tougou, farmers, researchers and local partners test portfolios of climate-smart technologies and practices.",Developing Climate-Smart Village Models in Burkina Faso,https://ccafs.cgiar.org/regions/west-africa/burkina-faso
Burkina Faso,"Burkina Faso is a member of the Climate-Smart Agriculture Alliance launched in June 2015, in Mali, in partnership with ECOWAS and CCAFS. This alliance aims to enhance adaptation and resilience to climate variability and change, while increasing farm productivity and incomes sustainably and equitably, and controlling and reducing greenhouse gas emissions wherever possible and appropriate, at a regional level. ",West African Alliance for Climate-Smart Agriculture,https://ccafs.cgiar.org/news/alliance-climate-smart-agriculture-launched-west-africa#.VmAbYOPJ2ko
Burkina Faso,"A CCAFS initiative of building a network of national stakeholders, including scientists and policy makers, regularly exchanging knowledge on adaptation to climate change.",National science-policy dialogue platform,"https://ccafs.cgiar.org/regions/west-africa/burkina-faso#:~:text=CCAFS%20has%20initiated%20several%20projects,climate%2Dsmart%20technologies%20and%20practices."
Burundi,"National adaptation and mitigation priorities, strategies, policies, plans, objectives and metrics.","Nationally Determined Contribution of Burundi, 2021",https://unfccc.int/sites/default/files/NDC/2022-06/CDN%20%20%20Burundi%20ANNEXE%201.pdf
Burundi,"Joint Government of Burundi-World Bank investment plan to achieve an integrated sustainable landscape management, threatened by climate change and land degradation.",Multi-Sector Investment Plan to Scale Up Resilience ,https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099930006302237433/p17682007885e00780b1cc093a09277df1a
Burundi,Join World Bank-Government of Burundi project with the objective of restoring land productivity in targeted degraded landscapes,Burundi Landscape Restoration and Resilience Project (2018-2024),https://projects.worldbank.org/en/projects-operations/project-detail/P160613
Cameroon,"Ministry of Livestock, Fisheries, and Animal Industries-implemented project contributing to climate smart agriculture livestock outcomes while improving productivity of systems and marketing of products. ",Livestock Development Project (PRODEL),https://blogs.worldbank.org/africacan/adapting-livestock-herding-cameroon-climate-change
Cameroon,A project supporting Cameroon's methane mitigation ambitions in the next NDC update in the livestock and rice sub-sectors with improved emission and emission reduction data.,Enhancing agricultural methane ambition in Cameroon's climate commitments and large-scale investments,"https://www.ccacoalition.org/calls-for-proposals/2023-calls-proposals-projects-advance-national-policy-and-mitigation-actions/cameroon-enhancing-agricultural-methane-ambition-cameroons-climate-commitments-and-large-scale-investments-cm-23-002#:~:text=The%20government%20adopts%20the%20evaluation,relevant%20plans%20and%20strategies%20by"
Cameroon,"National report identifying priorities to address climate risks with a climate resilient agriculture, forestry and land Use system being one of the primary priority sectors.",Cameroon Country Climate and Development Report,https://openknowledge.worldbank.org/entities/publication/d600ba78-86f8-5e3a-a894-217b51253734
